iPtZ = 2, iCent = 1
0.615111	0.010229	0.718627	0.0123169	0.850393	0.0144591	0.98811	0.0163175	0	0	0	0	
0.84372	0.0131453	0.912969	0.0147921	0.91827	0.0157217	0.883281	0.0165219	0	0	0	0	
iPtZ = 2, iCent = 2
0.583644	0.00882133	0.7437	0.011514	0.867078	0.013814	0.929607	0.0155392	0	0	0	0	
0.846514	0.0132277	0.855314	0.012686	0.912402	0.0154959	0.873166	0.013576	0	0	0	0	
iPtZ = 2, iCent = 3
0.622801	0.00999368	0.709365	0.0115723	0.876038	0.0147982	0.974091	0.0171761	0	0	0	0	
0.854825	0.0137205	0.888279	0.014504	0.907655	0.014009	0.88517	0.0136561	0	0	0	0	
iPtZ = 3, iCent = 1
0.590547	0.0100691	0.668983	0.0105713	0.752059	0.0119029	0.885642	0.0148594	0.951409	0.014314	0	0	
0.844443	0.0135888	0.879173	0.0157542	0.920972	0.0161736	0.91788	0.0144381	0.884653	0.0136717	0	0	
iPtZ = 3, iCent = 2
0.566182	0.00923076	0.666886	0.0114973	0.761102	0.0124544	0.898821	0.0152118	0.966686	0.0152819	0	0	
0.841943	0.013393	0.868516	0.0148905	0.896193	0.0140839	0.918751	0.0142771	0.886412	0.0136076	0	0	
iPtZ = 3, iCent = 3
0.565582	0.00902793	0.633018	0.0104093	0.735922	0.0105407	0.886342	0.0149137	0.998775	0.0164134	0	0	
0.825132	0.0119522	0.86411	0.0142432	0.855499	0.0133397	0.90308	0.0137897	0.865504	0.0144452	0	0	
iPtZ = 4, iCent = 1
0.545836	0.00865729	0.612533	0.0103388	0.670752	0.0113718	0.766141	0.0127168	0.845644	0.0138623	0.934261	0.0167311	
0.831919	0.013382	0.839686	0.0139222	0.86782	0.0147401	0.89658	0.0148628	0.886871	0.0165873	0.867375	0.0148155	
iPtZ = 4, iCent = 2
0.53885	0.00904647	0.602959	0.00979914	0.659911	0.00997656	0.737635	0.0114456	0.830436	0.0146593	0.937679	0.0154937	
0.838	0.0136619	0.836675	0.0133698	0.853143	0.0134014	0.877426	0.0137935	0.900154	0.0143766	0.883722	0.014741	
iPtZ = 4, iCent = 3
0.531747	0.00844563	0.587773	0.00885526	0.647884	0.0103063	0.725483	0.0116531	0.851457	0.012294	0.931583	0.0144955	
0.821647	0.0129096	0.849262	0.0144742	0.846171	0.0143218	0.882682	0.0136465	0.899932	0.0153637	0.861774	0.0132453	
